,USA,RUS,JPN,IND,CHN,COL,MEX,UKR,BRA,PER,ITA,SWE,ESP,NLD,DEU,CHL,MYS,CAN,GBR,FRA,BEL,AUS,PAK,DNK,NZL,TZA,SSD,NER,UGA,ISL,GHA,NGA,STP,BLR,SOM,CRI,ZMB,DMA,SMR,MDV,SAU,UZB,TCD,CMR,KAZ,AND,VCT,KGZ,MNE,MRT,NAM,BIH,IRN,CHE,AZE,FJI,OMN,PRY,COG,TUN,SYR,BGD,POL,DZA,ISR,MCO,BHR,GUY,SLE,TTO,BRB,CIV,CPV,MLI,CAF,AFG,BWA,ARM,ZAF,PRT,ARG,MOZ,GNQ,MDA,PAN,EST,MMR,BFA,BGR,CUB,LVA,TGO,FIN,PHL,LAO,AUT,GTM,ZWE,TWN,BLZ,ERI,SDN,SVK,MAR,VEN,MWI,MUS,VNM,GMB,BOL,ALB,GAB,NOR,SRB,IDN,HRV,QAT,ETH,BHS,HUN,SYC,HND,GRC,GRD,LBY,BEN,KEN,JOR,NPL,KWT,ATG,MLT,TLS,RWA,HTI,BTN,MDG,JAM,KOR,GEO,BDI,URY,GIN,LTU,LBR,LBN,CZE,ARE,SVN,DJI,LKA,KHM,COD,DOM,CYP,PNG,BRN,SWZ,KNA,LUX,SUR,THA,LIE,GNB,LCA,SLV,MNG,EGY,AGO,IRL,ROU,KOS,TUR,SGP,SEN,ECU,NIC,MKD,YEM,IRQ
2020-04-12,555271,15770,6748,9205,83134,2776,4219,2777,22192,7519,156363,10483,166831,25746,127854,7213,4683,25303,85206,120750,29647,6315,5230,6369,1330,32,4,529,54,1701,566,323,4,2578,25,595,43,16,356,20,4462,865,18,820,951,638,12,377,272,7,16,1009,71686,25415,1098,16,599,147,60,707,25,621,6674,1914,11504,93,1136,45,10,113,71,574,8,105,8,555,13,1013,2173,16585,2142,21,21,1662,3234,1309,41,497,675,669,651,76,2974,4648,19,13945,155,14,388,14,34,19,742,1661,181,13,324,262,9,300,446,49,6525,3630,4241,1600,2979,71,46,1410,11,393,2081,14,25,35,197,389,12,1234,21,378,2,126,31,5,106,69,10512,257,5,480,250,952,48,630,5991,4123,1205,214,210,122,234,2967,616,2,136,14,12,3281,10,2551,81,38,15,125,16,2065,19,9655,6300,283,56956,2532,280,7466,9,828,1,1352
2020-04-13,580526,18328,7370,10453,83213,2852,4661,3102,23430,9784,159516,10948,170099,26710,130072,7525,4817,26937,89570,124414,30589,6351,5496,6513,1349,49,4,529,54,1711,566,343,4,2919,60,612,45,16,356,20,4934,998,23,820,1091,646,12,419,274,7,16,1037,73303,25688,1148,16,727,159,60,726,25,803,6934,1983,11942,93,1361,45,10,113,72,626,10,123,11,607,13,1039,2272,16934,2208,21,21,1712,3400,1332,62,497,685,726,655,77,3064,4932,19,14041,156,17,393,18,34,19,769,1763,189,16,324,265,9,330,467,57,6603,4054,4557,1650,3231,74,47,1458,11,397,2145,14,26,35,208,391,14,1300,23,384,4,127,31,5,106,73,10537,272,5,480,319,970,50,632,6059,4521,1212,298,217,122,235,3167,633,2,136,15,12,3292,10,2579,81,38,15,137,17,2190,19,10647,6633,283,61049,2918,291,7529,9,854,1,1378
2020-04-14,607220,21102,7645,11487,83306,2979,5014,3372,25262,10303,162488,11445,172541,27580,131359,7917,4987,28563,94845,130377,31119,6415,5837,6706,1366,53,4,570,55,1720,636,373,4,3281,60,618,45,16,371,20,5369,1165,23,848,1232,659,12,430,283,7,16,1083,74877,25936,1197,16,813,161,60,747,29,1012,7202,2070,12341,93,1528,47,11,113,72,638,11,144,11,665,13,1067,2415,17448,2277,28,41,1934,3472,1373,63,528,713,766,657,77,3161,5223,19,14226,167,17,393,18,34,29,835,1888,189,16,324,266,9,354,475,57,6623,4465,4839,1704,3428,82,49,1512,11,407,2170,14,35,35,216,397,16,1355,23,393,6,134,40,5,108,73,10564,300,5,483,363,977,51,641,6111,4933,1220,363,233,122,241,3286,662,2,136,15,14,3307,10,2613,81,38,15,149,30,2350,19,11479,6879,387,65111,3252,299,7603,9,908,1,1400
2020-04-15,636538,24490,8100,12322,83356,3105,5399,3764,28320,11475,165155,11927,177644,28316,134753,8273,5072,30223,99483,133585,33573,6440,6383,6876,1386,88,4,584,55,1727,636,407,4,3728,80,626,48,16,372,22,5862,1302,23,848,1295,673,12,449,288,7,16,1110,76389,26336,1253,16,910,174,117,780,33,1231,7582,2160,12652,93,1671,55,13,114,73,638,56,148,12,770,13,1111,2506,18091,2443,29,51,2049,3574,1400,74,542,747,814,666,81,3237,5453,19,14336,180,23,395,18,35,32,863,2024,197,16,324,267,9,397,494,80,6740,4873,5136,1741,3711,85,49,1579,11,419,2192,14,48,35,225,401,16,1405,23,399,8,136,40,5,110,125,10591,306,5,492,404,995,59,658,6216,5365,1248,435,238,122,254,3614,695,2,136,15,14,3373,10,2643,81,43,15,159,30,2505,19,12547,7216,387,69392,3699,314,7858,9,974,1,1415
2020-04-16,667773,27938,8626,13430,83403,3233,5847,4161,30425,12491,168941,12540,184948,29383,137698,8807,5182,32790,104145,146182,34809,6462,6919,7074,1401,94,4,584,55,1739,641,442,4,4204,80,642,48,16,393,25,6380,1349,27,996,1402,673,12,466,303,7,16,1167,77995,26732,1283,17,1019,199,117,822,33,1572,7918,2268,12948,93,1700,55,15,114,75,654,56,171,12,794,15,1159,2605,18841,2571,31,51,2154,3751,1434,85,546,800,862,675,81,3369,5660,19,14476,196,23,395,18,35,32,977,2283,204,16,324,268,9,441,518,80,6896,5318,5516,1791,4103,92,53,1652,11,426,2207,14,49,35,234,402,16,1524,23,412,18,138,41,5,111,143,10613,348,5,502,438,1022,59,663,6433,5825,1268,591,238,122,267,3755,715,7,136,16,14,3444,10,2672,81,43,15,164,31,2673,19,13271,7707,449,74193,4427,335,8225,9,1081,1,1434
2020-04-17,699948,32008,9787,14352,83760,3439,6297,4662,33682,13489,172434,13216,190839,30619,141397,9252,5251,34876,109769,148103,36138,6522,7025,7268,1409,147,4,627,56,1754,641,493,4,4779,116,649,52,16,426,28,7142,1405,27,996,1546,696,12,489,303,7,16,1214,79494,27078,1340,17,1069,202,143,864,38,1838,8379,2418,13246,94,1740,63,26,114,75,688,56,171,12,845,15,1201,2783,19022,2669,34,79,2264,4016,1459,88,557,846,923,682,83,3489,5878,19,14595,214,24,395,18,35,32,1049,2564,204,17,324,268,9,465,539,108,6937,5690,5923,1814,4663,96,54,1763,11,442,2224,14,49,35,246,407,30,1658,23,422,18,143,41,5,117,143,10635,370,5,502,477,1050,73,668,6549,6302,1304,732,244,122,287,4126,735,7,136,16,14,3480,10,2700,82,43,15,177,31,2844,19,13980,8067,480,78546,5050,342,8450,9,1117,1,1482
2020-04-18,732511,36793,10296,15722,83787,3439,6875,5106,36658,14420,175925,13822,191726,31766,143342,9730,5305,36358,115314,151924,37183,6547,7638,7437,1422,147,4,639,55,1760,834,542,4,4779,135,655,57,16,426,35,8274,1490,33,1017,1615,704,12,506,307,7,16,1268,80868,27404,1373,17,1180,206,143,864,38,2144,8742,2534,13537,94,1773,63,30,114,75,801,58,216,12,908,15,1248,3034,19685,2758,35,79,2378,4210,1512,98,565,878,986,712,84,3681,6087,19,14671,235,25,398,18,39,66,1089,2685,227,17,325,268,9,493,548,108,7036,5994,6248,1832,5008,105,55,1834,11,457,2235,14,49,35,262,413,31,1751,23,426,18,144,43,5,120,163,10653,388,5,508,518,1091,76,672,6606,6302,1317,732,254,122,307,4335,735,7,137,22,14,3537,10,2733,82,46,15,190,31,3032,24,14758,8418,510,82329,5992,350,9022,9,1170,1,1513
2020-04-19,759150,42853,10797,17615,83805,3792,7497,5449,38654,15628,178972,14385,198674,32838,145184,10088,5389,38026,121172,153041,38496,6547,8348,7580,1431,170,4,648,55,1771,1042,627,4,4779,164,660,61,16,455,52,9362,1565,33,1017,1676,713,12,554,308,7,16,1285,82211,27740,1398,17,1266,208,143,879,39,2456,9287,2629,13813,94,1881,65,35,114,75,847,61,224,12,933,20,1291,3158,20206,2839,39,79,2472,4273,1528,111,576,894,1035,727,84,3783,6259,19,14749,257,25,420,18,39,66,1161,2855,256,17,328,268,10,520,562,109,7078,6318,6575,1871,5448,108,55,1916,11,472,2245,14,51,35,270,417,31,1915,23,427,19,147,44,5,121,173,10661,394,5,517,579,1153,81,673,6746,6781,1330,846,271,122,327,4680,761,7,138,22,14,3550,10,2765,82,50,15,201,32,3144,24,15251,8746,510,86306,6588,367,9468,10,1207,1,1539
2020-04-20,784339,47121,10797,18539,83817,3977,8261,5710,40743,16325,181228,14777,200210,33588,147065,10507,5425,39591,125856,155489,39983,6547,8418,7711,1440,254,4,648,56,1773,1042,665,4,6264,237,662,65,16,461,69,10484,1627,33,1163,1852,717,12,568,312,7,16,1309,83505,27944,1436,18,1410,208,160,884,39,2948,9593,2718,14112,94,1907,65,43,114,75,847,67,246,12,996,20,1339,3300,20863,2941,39,79,2548,4467,1535,119,581,929,1087,739,84,3868,6459,19,14795,289,25,422,18,39,92,1173,3046,256,17,328,268,10,564,584,120,7156,6630,6760,1881,6015,111,60,1984,11,477,2245,14,51,54,281,425,31,1995,23,431,22,147,44,5,121,223,10674,402,5,535,622,1173,91,677,6900,7265,1335,846,304,122,332,4964,767,7,138,24,15,3558,10,2792,82,50,15,218,33,3333,24,15652,8936,510,90980,8014,377,10128,10,1225,1,1574
2020-04-21,812350,52763,11135,20080,83853,4149,8772,6125,43079,17837,183957,15322,204178,34317,148291,10832,5482,41334,130172,158197,40956,6547,9565,7891,1445,254,4,657,61,1778,1042,665,4,6723,286,669,70,16,462,83,11631,1678,33,1163,1995,717,12,590,313,7,16,1342,84802,28063,1480,18,1508,213,165,884,42,3382,9856,2811,14394,94,1973,66,50,115,75,916,68,258,14,1026,20,1401,3465,21379,3031,39,83,2614,4658,1552,121,600,975,1137,748,86,4014,6599,19,14873,294,28,425,18,39,107,1199,3209,285,18,328,268,10,598,609,156,7191,6630,7135,1908,6533,114,65,2098,11,494,2401,14,51,54,296,428,43,2080,23,443,23,150,47,6,121,223,10683,408,5,535,688,1226,99,677,7033,7755,1344,945,310,122,350,5044,772,7,138,31,15,3618,10,2811,82,50,15,225,34,3490,24,16040,9242,510,95591,9125,412,10398,10,1231,1,1602
