rank,beta,relative error,std error
1,0.5,0.13848598076253454,0.0016909681035820348
2,0.5,0.11409951016561778,0.0018419679413616695
3,0.5,0.10587109796294528,0.0011620704657564626
4,0.5,0.1011800718727098,0.0017512637633320682
5,0.5,0.10014838865511833,0.001988627124145374
6,0.5,0.09774728396700741,0.001435589033903217
7,0.5,0.1151097161677006,0.02793309000536116
8,0.5,0.1598553655583653,0.009404671335246084
9,0.5,0.16835694340401988,0.007976323031092651
10,0.5,0.1681153791565838,0.00864935089071977
11,0.5,0.19435148600839708,0.010716225388423508
12,0.5,0.21590454822412103,0.01439309492740859
13,0.5,0.22289810407918315,0.017635394596975086
14,0.5,0.23847231050770992,0.014873915828395892
