rank,beta,relative error,std error
1,0.5,0.11375115336406165,0.001380344902856826
2,0.5,0.07810788725393562,0.0009893744695605936
3,0.5,0.06531657278347995,0.0004216129358728214
4,0.5,0.05056682331684764,0.000718542623062057
5,0.5,0.04321917984612261,0.0006843778802470998
6,0.5,0.036277991749880396,0.0005627084483193215
7,0.5,0.0304331331083482,0.0003488732853523049
8,0.5,0.025007229316280827,0.0003863036168064394
9,0.5,0.020034691457325993,0.0006329100511722637
10,0.5,0.017619390980493622,0.00039281352484796706
11,0.5,0.015551672362712663,0.00023274789266512154
12,0.5,0.014456510853243797,0.0002710205737980482
13,0.5,0.013298510979077874,0.000237754526593901
14,0.5,0.012522634213110395,0.00018598978773127906
