,state,adj,distance
0,Alabama,Mississippi,226.63268494890178
1,Alabama,Tennessee,263.1840286232752
2,Alabama,Georgia,145.73134035287575
3,Alabama,Florida,179.2635937876595
4,Arkansas,Missouri,264.88464543538976
5,Arkansas,Tennessee,324.9010400998201
6,Arkansas,Mississippi,207.86444181996436
7,Arkansas,Louisiana,303.22887033436086
8,Arkansas,Texas,442.96956122955163
9,Arkansas,Oklahoma,299.12154326606435
10,Arizona,California,632.9890376685399
11,Arizona,Nevada,581.2201460309606
12,Arizona,Utah,506.5388501402845
13,Arizona,Colorado,586.6113341930578
14,Arizona,New Mexico,382.72977844821816
15,California,Oregon,446.61292442073534
16,California,Nevada,101.3988754119645
17,California,Arizona,632.9890376685399
18,Colorado,Wyoming,97.1883370740402
19,Colorado,Nebraska,442.7848333602196
20,Colorado,Kansas,499.007699578645
21,Colorado,Oklahoma,503.4561705812698
22,Colorado,New Mexico,285.12330624761023
23,Colorado,Arizona,586.6113341930578
24,Colorado,Utah,370.8961078620324
25,Connecticut,New York,82.47140865152042
26,Connecticut,Massachusetts,92.61578277881223
27,Connecticut,Rhode Island,65.43735813110214
28,District of Columbia,Maryland,29.753206630957024
29,District of Columbia,Virginia,96.96480855119584
30,Delaware,Maryland,53.54006049375715
31,Delaware,Pennsylvania,105.38280296196731
32,Delaware,New Jersey,83.5852100198253
33,Florida,Alabama,179.26359378765957
34,Florida,Georgia,228.84759589891587
35,Georgia,Florida,228.84759589891587
36,Georgia,Alabama,145.73134035287575
37,Georgia,Tennessee,215.13962376639478
38,Georgia,North Carolina,355.1475639015026
39,Georgia,South Carolina,193.23484302856056
40,Iowa,Minnesota,233.79481552647925
41,Iowa,Wisconsin,238.60600076802675
42,Iowa,Illinois,241.0720428524212
43,Iowa,Missouri,221.41074848172795
44,Iowa,Nebraska,169.78608554669802
45,Iowa,South Dakota,390.9109756815733
46,Idaho,Montana,289.1167035342257
47,Idaho,Wyoming,604.9348658551487
48,Idaho,Utah,295.2486900237592
49,Idaho,Nevada,358.9038781421526
50,Idaho,Oregon,349.88307413406443
51,Idaho,Washington,402.0935093928379
52,Illinois,Indiana,185.42801026553713
53,Illinois,Kentucky,279.73422826646544
54,Illinois,Missouri,158.9813937976836
55,Illinois,Iowa,241.07204285242125
56,Illinois,Wisconsin,226.80509936544325
57,Indiana,Michigan,221.21186124405318
58,Indiana,Ohio,168.29288961764007
59,Indiana,Kentucky,129.3289531224295
60,Indiana,Illinois,185.42801026553713
61,Kansas,Nebraska,133.09930234887574
62,Kansas,Missouri,191.44817417298444
63,Kansas,Oklahoma,265.3872029575244
64,Kansas,Colorado,499.007699578645
65,Kentucky,Indiana,129.32895312242968
66,Kentucky,Ohio,158.62167323574346
67,Kentucky,West Virginia,177.31755897346596
68,Kentucky,Virginia,408.27987207584505
69,Kentucky,Tennessee,174.7481113092912
70,Kentucky,Missouri,396.0660221659659
71,Kentucky,Illinois,279.73422826646544
72,Louisiana,Texas,390.8018676161098
73,Louisiana,Arkansas,303.2288703343609
74,Louisiana,Mississippi,140.70366186574975
75,Massachusetts,Rhode Island,40.63776919506209
76,Massachusetts,Connecticut,92.6157827788123
77,Massachusetts,New York,138.7279220772434
78,Massachusetts,New Hampshire,63.38245545561277
79,Massachusetts,Vermont,152.0687469349564
80,Maryland,Virginia,111.86281938878815
81,Maryland,West Virginia,279.82660669735935
82,Maryland,Pennsylvania,91.25228996396226
83,Maryland,District of Columbia,29.753206630956996
84,Maryland,Delaware,53.540060493757146
85,Maine,New Hampshire,116.01809141894188
86,Michigan,Wisconsin,245.5026072215524
87,Michigan,Indiana,221.21186124405332
88,Michigan,Ohio,207.85079530139444
89,Minnesota,Wisconsin,225.80753382470905
90,Minnesota,Iowa,233.79481552647925
91,Minnesota,South Dakota,358.20142151487084
92,Minnesota,North Dakota,391.05800887131284
93,Missouri,Iowa,221.4107484817278
94,Missouri,Illinois,158.9813937976835
95,Missouri,Kentucky,396.066022165966
96,Missouri,Tennessee,339.5518120389172
97,Missouri,Arkansas,264.8846454353901
98,Missouri,Oklahoma,363.10812305820434
99,Missouri,Kansas,191.44817417298444
100,Missouri,Nebraska,285.6587359126191
101,Mississippi,Louisiana,140.70366186574978
102,Mississippi,Arkansas,207.86444181996436
103,Mississippi,Tennessee,329.90341965083064
104,Mississippi,Alabama,226.63268494890178
105,Montana,North Dakota,532.1428036613509
106,Montana,South Dakota,585.2811902445134
107,Montana,Wyoming,519.3246255446803
108,Montana,Idaho,289.1167035342256
109,North Carolina,Virginia,138.65201883842542
110,North Carolina,Tennessee,456.09348554552184
111,North Carolina,Georgia,355.14756390150256
112,North Carolina,South Carolina,183.11891078121502
113,North Dakota,Minnesota,391.05800887131284
114,North Dakota,South Dakota,170.8527664097142
115,North Dakota,Montana,532.1428036613511
116,Nebraska,South Dakota,307.9547482728188
117,Nebraska,Iowa,169.78608554669805
118,Nebraska,Missouri,285.6587359126191
119,Nebraska,Kansas,133.09930234887534
120,Nebraska,Colorado,442.78483336021964
121,Nebraska,Wyoming,424.0844584519195
122,New Hampshire,Vermont,89.59621841570312
123,New Hampshire,Maine,116.01809141894167
124,New Hampshire,Massachusetts,63.38245545561255
125,New Jersey,Delaware,83.58521001982541
126,New Jersey,Pennsylvania,111.51455270153431
127,New Jersey,New York,176.03473220462422
128,New Mexico,Arizona,382.72977844821816
129,New Mexico,Utah,477.43205814982156
130,New Mexico,Colorado,285.12330624760995
131,New Mexico,Oklahoma,474.06719088027086
132,New Mexico,Texas,604.1181212472794
133,Nevada,Idaho,358.9038781421526
134,Nevada,Utah,431.61306226670195
135,Nevada,Arizona,581.2201460309607
136,Nevada,California,101.39887541196447
