rank,beta,relative error,std error
1,1,0.1452397327368357,0.0020261660305321426
2,1,0.1234680095137584,0.002602347986980856
3,1,0.11897160508184239,0.0024685056718111564
4,1,0.21934058519688673,0.010848278372534038
5,1,0.22241191806545474,0.012620804909801787
6,1,0.22372329871546093,0.010993118222618595
7,1,0.2296915090422002,0.011670466223940206
8,1,0.24192977839900145,0.008359585106650134
9,1,0.23998525173295998,0.010638697814608617
10,1,0.24672600923019467,0.00944147438425826
11,1,0.2506652499051409,0.007032560659012518
12,1,0.2568150957509664,0.007942490768825238
13,1,0.25874509034360393,0.010023171214142163
14,1,0.2526892942141349,0.00800715913644869
