rank,beta,relative error,std error
1,1,0.10226919121878553,0.0010104329763088273
2,1,0.05225571292112528,0.0010734176537093645
3,1,0.03797614563630476,0.0010154679841376003
4,1,0.029141590378481675,0.0005371589684969174
5,1,0.022793632650357498,0.0006454075061575164
6,1,0.01866690701939609,0.00048289948637603907
7,1,0.015499459920862158,0.00039610976768968993
8,1,0.014067048479000121,0.0003483714067641365
9,1,0.01270113664992575,0.0003178316265103075
10,1,0.011501895854335042,0.0004264648234394537
11,1,0.010681098427233518,0.00022741005514883265
12,1,0.009461742473530373,0.00020814157711832897
13,1,0.009325283239911164,0.0005086808207086624
14,1,0.008828563763030702,0.00023528811233266991
