rank,beta,relative error,std error
1,1,0.13981935541620055,0.0017436408770618254
2,1,0.09331117418452295,0.0018746636218797007
3,1,0.07041705817988772,0.0010851179082171799
4,1,0.0670007795656056,0.000935689874574261
5,1,0.0646374422995525,0.0005039013999867671
6,1,0.06385033716760423,0.0008072066321168908
7,1,0.06266179467396427,0.0006284329364875845
8,1,0.06298436043854165,0.0010691199998536622
9,1,0.06906194563340617,0.006057991714150546
10,1,0.07985454118416253,0.006461799935546464
11,1,0.08124590591172512,0.00819940655119118
12,1,0.09070081910736806,0.004596655014588578
13,1,0.09366665318741342,0.0053146274778553566
14,1,0.09624264556964614,0.008794759980731067
