rank,beta,relative error,std error
1,1,0.1317725674560835,0.001669591929235369
2,1,0.07373182667631842,0.001814358399131999
3,1,0.04153928265756655,0.0007116604852853527
4,1,0.03401886607951702,0.0005762101786805653
5,1,0.025918562012796027,0.0007489996269409091
6,1,0.02213469046359754,0.0004020210103233973
7,1,0.018452686961666652,0.0005266894473353721
8,1,0.016161614119134877,0.0004687198565557019
9,1,0.013506880908918934,0.0002989722401595444
10,1,0.011830115817472169,0.000489993521385649
11,1,0.010263884750186022,0.00041481496791579445
12,1,0.009105470567816196,0.00021953165726174345
13,1,0.00827528681221614,0.00017883413856305676
14,1,0.0076770296876300425,0.00018393149319565649
