,state,county,fips,population_estimate
0,Alabama,Autauga County,1001,55869
1,Alabama,Baldwin County,1003,223234
2,Alabama,Barbour County,1005,24686
3,Alabama,Bibb County,1007,22394
4,Alabama,Blount County,1009,57826
5,Alabama,Bullock County,1011,10101
6,Alabama,Butler County,1013,19448
7,Alabama,Calhoun County,1015,113605
8,Alabama,Chambers County,1017,33254
9,Alabama,Cherokee County,1019,26196
10,Alabama,Chilton County,1021,44428
11,Alabama,Choctaw County,1023,12589
12,Alabama,Clarke County,1025,23622
13,Alabama,Clay County,1027,13235
14,Alabama,Cleburne County,1029,14910
15,Alabama,Coffee County,1031,52342
16,Alabama,Colbert County,1033,55241
17,Alabama,Conecuh County,1035,12067
18,Alabama,Coosa County,1037,10663
19,Alabama,Covington County,1039,37049
20,Alabama,Crenshaw County,1041,13772
21,Alabama,Cullman County,1043,83768
22,Alabama,Dale County,1045,49172
23,Alabama,Dallas County,1047,37196
24,Alabama,DeKalb County,1049,71513
25,Alabama,Elmore County,1051,81209
26,Alabama,Escambia County,1053,36633
27,Alabama,Etowah County,1055,102268
28,Alabama,Fayette County,1057,16302
29,Alabama,Franklin County,1059,31362
30,Alabama,Geneva County,1061,26271
31,Alabama,Greene County,1063,8111
32,Alabama,Hale County,1065,14651
33,Alabama,Henry County,1067,17205
34,Alabama,Houston County,1069,105882
35,Alabama,Jackson County,1071,51626
36,Alabama,Jefferson County,1073,658573
37,Alabama,Lamar County,1075,13805
38,Alabama,Lauderdale County,1077,92729
39,Alabama,Lawrence County,1079,32924
40,Alabama,Lee County,1081,164542
41,Alabama,Limestone County,1083,98915
42,Alabama,Lowndes County,1085,9726
43,Alabama,Macon County,1087,18068
44,Alabama,Madison County,1089,372909
45,Alabama,Marengo County,1091,18863
46,Alabama,Marion County,1093,29709
47,Alabama,Marshall County,1095,96774
48,Alabama,Mobile County,1097,413210
49,Alabama,Monroe County,1099,20733
50,Alabama,Montgomery County,1101,226486
51,Alabama,Morgan County,1103,119679
52,Alabama,Perry County,1105,8923
53,Alabama,Pickens County,1107,19930
54,Alabama,Pike County,1109,33114
55,Alabama,Randolph County,1111,22722
56,Alabama,Russell County,1113,57961
57,Alabama,St. Clair County,1115,89512
58,Alabama,Shelby County,1117,217702
59,Alabama,Sumter County,1119,12427
60,Alabama,Talladega County,1121,79978
61,Alabama,Tallapoosa County,1123,40367
62,Alabama,Tuscaloosa County,1125,209355
63,Alabama,Walker County,1127,63521
64,Alabama,Washington County,1129,16326
65,Alabama,Wilcox County,1131,10373
66,Alabama,Winston County,1133,23629
67,Alaska,Aleutians East Borough,2013,3337
68,Alaska,Aleutians West Census Area,2016,5634
69,Alaska,Anchorage Municipality,2020,288000
70,Alaska,Bethel Census Area,2050,18386
71,Alaska,Bristol Bay Borough,2060,836
72,Alaska,Denali Borough,2068,2097
73,Alaska,Dillingham Census Area,2070,4916
74,Alaska,Fairbanks North Star Borough,2090,96849
75,Alaska,Haines Borough,2100,2530
76,Alaska,Hoonah-Angoon Census Area,2105,2148
77,Alaska,Juneau City and Borough,2110,31974
78,Alaska,Kenai Peninsula Borough,2122,58708
79,Alaska,Ketchikan Gateway Borough,2130,13901
80,Alaska,Kodiak Island Borough,2150,12998
81,Alaska,Kusilvak Census Area,2158,8314
82,Alaska,Lake and Peninsula Borough,2164,1592
83,Alaska,Matanuska-Susitna Borough,2170,108317
84,Alaska,Nome Census Area,2180,10004
85,Alaska,North Slope Borough,2185,9832
86,Alaska,Northwest Arctic Borough,2188,7621
87,Alaska,Petersburg Borough,2195,3266
88,Alaska,Prince of Wales-Hyder Census Area,2198,6203
89,Alaska,Sitka City and Borough,2220,8493
90,Alaska,Skagway Municipality,2230,1183
91,Alaska,Southeast Fairbanks Census Area,2240,6893
92,Alaska,Valdez-Cordova Census Area,2261,9202
93,Alaska,Wrangell City and Borough,2275,2502
94,Alaska,Yakutat City and Borough,2282,579
95,Alaska,Yukon-Koyukuk Census Area,2290,5230
96,Arizona,Apache County,4001,71887
97,Arizona,Cochise County,4003,125922
98,Arizona,Coconino County,4005,143476
99,Arizona,Gila County,4007,54018
100,Arizona,Graham County,4009,38837
101,Arizona,Greenlee County,4011,9498
102,Arizona,La Paz County,4012,21108
103,Arizona,Maricopa County,4013,4485414
104,Arizona,Mohave County,4015,212181
105,Arizona,Navajo County,4017,110924
106,Arizona,Pima County,4019,1047279
107,Arizona,Pinal County,4021,462789
108,Arizona,Santa Cruz County,4023,46498
109,Arizona,Yavapai County,4025,235099
110,Arizona,Yuma County,4027,213787
111,Arkansas,Arkansas County,5001,17486
112,Arkansas,Ashley County,5003,19657
113,Arkansas,Baxter County,5005,41932
114,Arkansas,Benton County,5007,279141
115,Arkansas,Boone County,5009,37432
116,Arkansas,Bradley County,5011,10763
117,Arkansas,Calhoun County,5013,5189
118,Arkansas,Carroll County,5015,28380
119,Arkansas,Chicot County,5017,10118
120,Arkansas,Clark County,5019,22320
121,Arkansas,Clay County,5021,14551
122,Arkansas,Cleburne County,5023,24919
123,Arkansas,Cleveland County,5025,7956
124,Arkansas,Columbia County,5027,23457
125,Arkansas,Conway County,5029,20846
126,Arkansas,Craighead County,5031,110332
127,Arkansas,Crawford County,5033,63257
128,Arkansas,Crittenden County,5035,47955
129,Arkansas,Cross County,5037,16419
130,Arkansas,Dallas County,5039,7009
131,Arkansas,Desha County,5041,11361
132,Arkansas,Drew County,5043,18219
133,Arkansas,Faulkner County,5045,126007
134,Arkansas,Franklin County,5047,17715
135,Arkansas,Fulton County,5049,12477
136,Arkansas,Garland County,5051,99386
137,Arkansas,Grant County,5053,18265
138,Arkansas,Greene County,5055,45325
139,Arkansas,Hempstead County,5057,21532
140,Arkansas,Hot Spring County,5059,33771
141,Arkansas,Howard County,5061,13202
142,Arkansas,Independence County,5063,37825
143,Arkansas,Izard County,5065,13629
144,Arkansas,Jackson County,5067,16719
145,Arkansas,Jefferson County,5069,66824
146,Arkansas,Johnson County,5071,26578
147,Arkansas,Lafayette County,5073,6624
148,Arkansas,Lawrence County,5075,16406
149,Arkansas,Lee County,5077,8857
150,Arkansas,Lincoln County,5079,13024
151,Arkansas,Little River County,5081,12259
152,Arkansas,Logan County,5083,21466
153,Arkansas,Lonoke County,5085,73309
154,Arkansas,Madison County,5087,16576
155,Arkansas,Marion County,5089,16694
156,Arkansas,Miller County,5091,43257
157,Arkansas,Mississippi County,5093,40651
158,Arkansas,Monroe County,5095,6701
159,Arkansas,Montgomery County,5097,8986
160,Arkansas,Nevada County,5099,8252
161,Arkansas,Newton County,5101,7753
162,Arkansas,Ouachita County,5103,23382
163,Arkansas,Perry County,5105,10455
164,Arkansas,Phillips County,5107,17782
165,Arkansas,Pike County,5109,10718
166,Arkansas,Poinsett County,5111,23528
167,Arkansas,Polk County,5113,19964
168,Arkansas,Pope County,5115,64072
169,Arkansas,Prairie County,5117,8062
170,Arkansas,Pulaski County,5119,391911
171,Arkansas,Randolph County,5121,17958
172,Arkansas,St. Francis County,5123,24994
173,Arkansas,Saline County,5125,122437
174,Arkansas,Scott County,5127,10281
175,Arkansas,Searcy County,5129,7881
176,Arkansas,Sebastian County,5131,127827
177,Arkansas,Sevier County,5133,17007
178,Arkansas,Sharp County,5135,17442
179,Arkansas,Stone County,5137,12506
180,Arkansas,Union County,5139,38682
181,Arkansas,Van Buren County,5141,16545
182,Arkansas,Washington County,5143,239187
183,Arkansas,White County,5145,78753
184,Arkansas,Woodruff County,5147,6320
185,Arkansas,Yell County,5149,21341
186,California,Alameda County,6001,1671329
187,California,Alpine County,6003,1129
188,California,Amador County,6005,39752
189,California,Butte County,6007,219186
190,California,Calaveras County,6009,45905
191,California,Colusa County,6011,21547
192,California,Contra Costa County,6013,1153526
193,California,Del Norte County,6015,27812
194,California,El Dorado County,6017,192843
195,California,Fresno County,6019,999101
196,California,Glenn County,6021,28393
197,California,Humboldt County,6023,135558
198,California,Imperial County,6025,181215
199,California,Inyo County,6027,18039
200,California,Kern County,6029,900202
201,California,Kings County,6031,152940
202,California,Lake County,6033,64386
203,California,Lassen County,6035,30573
204,California,Los Angeles County,6037,10039107
205,California,Madera County,6039,157327
206,California,Marin County,6041,258826
207,California,Mariposa County,6043,17203
208,California,Mendocino County,6045,86749
209,California,Merced County,6047,277680
210,California,Modoc County,6049,8841
211,California,Mono County,6051,14444
212,California,Monterey County,6053,434061
213,California,Napa County,6055,137744
214,California,Nevada County,6057,99755
215,California,Orange County,6059,3175692
216,California,Placer County,6061,398329
217,California,Plumas County,6063,18807
218,California,Riverside County,6065,2470546
219,California,Sacramento County,6067,1552058
220,California,San Benito County,6069,62808
221,California,San Bernardino County,6071,2180085
222,California,San Diego County,6073,3338330
223,California,San Francisco County,6075,881549
224,California,San Joaquin County,6077,762148
225,California,San Luis Obispo County,6079,283111
226,California,San Mateo County,6081,766573
227,California,Santa Barbara County,6083,446499
228,California,Santa Clara County,6085,1927852
229,California,Santa Cruz County,6087,273213
230,California,Shasta County,6089,180080
231,California,Sierra County,6091,3005
232,California,Siskiyou County,6093,43539
233,California,Solano County,6095,447643
234,California,Sonoma County,6097,494336
235,California,Stanislaus County,6099,550660
236,California,Sutter County,6101,96971
237,California,Tehama County,6103,65084
238,California,Trinity County,6105,12285
239,California,Tulare County,6107,466195
240,California,Tuolumne County,6109,54478
241,California,Ventura County,6111,846006
242,California,Yolo County,6113,220500
243,California,Yuba County,6115,78668
244,Colorado,Adams County,8001,517421
245,Colorado,Alamosa County,8003,16233
246,Colorado,Arapahoe County,8005,656590
247,Colorado,Archuleta County,8007,14029
248,Colorado,Baca County,8009,3581
249,Colorado,Bent County,8011,5577
250,Colorado,Boulder County,8013,326196
251,Colorado,Broomfield County,8014,70465
252,Colorado,Chaffee County,8015,20356
253,Colorado,Cheyenne County,8017,1831
254,Colorado,Clear Creek County,8019,9700
255,Colorado,Conejos County,8021,8205
256,Colorado,Costilla County,8023,3887
257,Colorado,Crowley County,8025,6061
258,Colorado,Custer County,8027,5068
259,Colorado,Delta County,8029,31162
260,Colorado,Denver County,8031,727211
261,Colorado,Dolores County,8033,2055
262,Colorado,Douglas County,8035,351154
263,Colorado,Eagle County,8037,55127
264,Colorado,Elbert County,8039,26729
265,Colorado,El Paso County,8041,720403
266,Colorado,Fremont County,8043,47839
267,Colorado,Garfield County,8045,60061
268,Colorado,Gilpin County,8047,6243
269,Colorado,Grand County,8049,15734
270,Colorado,Gunnison County,8051,17462
271,Colorado,Hinsdale County,8053,820
272,Colorado,Huerfano County,8055,6897
273,Colorado,Jackson County,8057,1392
274,Colorado,Jefferson County,8059,582881
275,Colorado,Kiowa County,8061,1406
276,Colorado,Kit Carson County,8063,7097
277,Colorado,Lake County,8065,8127
278,Colorado,La Plata County,8067,56221
279,Colorado,Larimer County,8069,356899
280,Colorado,Las Animas County,8071,14506
