,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-04-12,3667,272,3542,1280,22201,7307,12035,1625,1875,19895,12452,499,1407,20852,7928,1587,1344,1963,20595,633,8225,25475,24244,1621,2781,4352,387,791,2836,929,61850,1245,189033,4570,331,6604,1970,1527,23219,897,2665,3320,730,5390,9747,2303,727,5274,10609,593,3341,270
2020-04-13,3870,277,3705,1410,23403,7691,13381,1758,1955,21019,13315,504,1426,22025,8359,1710,1390,2018,21016,698,8936,26867,25635,1621,2942,4568,394,814,2990,985,64584,1262,195749,4886,341,6975,2069,1584,24505,903,2665,3391,868,5606,10404,2363,748,5747,10635,611,3428,275
2020-04-14,4041,285,3809,1498,24541,7950,13989,1926,2058,21628,14578,511,1464,23248,8527,1899,1441,2048,21518,735,9472,28164,27001,1695,3087,4815,399,897,3134,922,68824,1345,203020,5113,364,7285,2184,1633,25612,923,3251,3553,988,5788,11108,2417,752,6182,10799,640,3555,282
2020-04-15,4307,293,3964,1569,26353,7956,14755,2014,2197,22511,14987,524,1473,24593,8960,1995,1504,2210,21951,770,10032,29918,28059,1809,3360,4876,404,901,3211,1139,71030,1484,214454,5340,392,7794,2263,1663,26841,974,3251,3656,1168,6051,11798,2548,759,6500,10942,702,3721,287
2020-04-16,4465,300,4237,1620,27575,8286,15884,2070,2350,23343,15669,530,1587,25734,9542,2141,1615,2435,22532,796,10784,32181,28809,1809,3624,5265,415,952,3214,1139,75317,1484,223691,5639,438,8414,2357,1736,28033,1043,3529,3931,1311,6341,12450,2683,774,6889,11057,728,3875,296
2020-04-17,4557,309,4511,1695,29293,8691,16809,2317,2476,24759,17194,541,1609,27578,10154,2332,1730,2522,23118,827,11572,34402,30023,2070,3793,5469,422,1066,3524,1287,78467,1597,230597,6045,528,9107,2465,1785,29855,1068,4177,4099,1411,6661,13032,2793,779,7491,11517,775,4053,305
2020-04-18,4788,314,4724,1744,30639,9047,17550,2538,2666,25492,17669,574,1655,29160,10641,2513,1821,2707,23580,847,12326,36372,30791,2209,3974,5652,426,1249,3626,1342,81420,1798,241712,6328,584,10222,2465,1844,31671,1118,4491,4248,1542,6834,13393,2917,803,8053,11776,785,4199,309
2020-04-19,4978,319,4933,1781,31304,9730,17962,2538,2793,26314,18301,580,1668,30357,11211,2902,1905,2960,23928,867,12847,38077,31424,2356,4274,5808,433,1474,3728,1390,85301,1845,247815,6601,626,11602,2567,1910,32938,1213,4706,4377,1635,7111,13673,3069,813,8542,12255,890,4346,313
2020-04-20,5163,321,5068,1973,33559,9730,19815,2745,2927,27059,19407,584,1672,31513,11688,3159,2048,3050,24523,875,13684,38077,32000,2470,4512,5953,433,1648,3830,1447,88722,1971,253060,6895,644,12919,2680,1957,33833,1252,5090,4446,1685,7361,14577,3213,816,8990,12114,902,4499,317
2020-04-21,5404,329,5256,1990,35750,10473,20360,2931,3098,27869,19881,586,1736,33059,12097,3641,2164,3204,24854,888,14193,41199,32667,2567,4716,6162,437,1685,3937,1490,92387,1971,258361,7134,676,13725,2807,2004,35077,1298,5500,4439,1755,7649,15270,3297,818,9630,12392,908,4625,443
2020-04-22,5692,335,5473,2276,37745,10891,22469,3200,3206,28309,21214,592,1766,35107,12438,3748,2331,3378,25258,907,14775,42944,33966,2722,4894,6376,439,1813,4081,1588,95914,2210,263292,7495,709,14117,2894,2059,36420,1252,5841,4761,1858,8148,16029,3445,823,10266,12596,939,4845,447
2020-04-23,5899,337,5772,2599,39593,11278,23100,3308,3361,29648,21883,596,1836,36937,13039,3924,2721,3479,25739,937,15737,46023,35296,2942,5153,6593,442,2202,4208,1670,100025,2379,263460,7820,747,14694,3017,2127,38274,1416,6256,4917,1956,8600,16904,3612,825,10998,12753,981,5052,453
2020-04-24,6092,339,6045,2810,41463,12256,23936,3442,3528,30533,22491,601,1870,39658,13681,4445,2959,3779,26140,965,16616,50969,36641,3185,5434,6867,444,2424,4398,1720,102196,2521,271590,8290,802,15169,3121,2177,39915,1276,6699,5070,2040,9068,17673,3782,827,11594,12977,1010,5356,473
2020-04-25,6274,339,6286,2911,42429,12968,24583,3576,3699,30839,23222,605,1887,41777,14399,5092,3135,3915,26512,965,17766,53348,37074,3446,5718,7013,445,2719,4539,1797,105498,2660,282143,8768,866,15587,3194,2253,41460,1307,7129,5253,2147,9369,18259,3948,843,12366,13319,1010,5687,491
2020-04-26,6475,340,6534,3001,43732,13441,25269,4034,3841,31532,23486,606,1897,43903,15012,5476,3277,4085,26773,1015,18581,54938,37778,3602,5911,7193,448,3028,4734,1864,109038,2726,288045,8997,942,15972,3254,2311,42784,1371,7439,5498,2212,9667,18614,4123,851,12970,13521,1055,5912,502
2020-04-27,6621,345,6725,3069,45310,13879,25997,4162,3892,32138,24302,607,1897,45883,15961,5868,3473,4156,27068,1023,19487,56462,38210,3811,6094,7377,449,3358,4700,1938,111188,2825,291996,9321,991,16325,3281,2354,43695,1389,7708,5613,2244,9964,20007,4236,855,13538,13686,1063,6081,520
2020-04-28,6820,351,6955,3127,46825,14316,26312,4575,3994,32848,24922,609,1952,48102,16588,6376,3652,4375,27286,1040,20113,58302,39262,4181,6342,7516,451,3517,4821,2010,113856,2974,295106,9755,1033,16769,3410,2385,45199,1400,7927,5735,2313,10237,20699,4345,862,14339,13842,1095,6289,536
2020-04-29,6979,355,7209,3193,49222,14758,26767,4655,4106,33193,25775,613,1952,50358,17182,6843,3839,4537,27660,1056,20849,60265,40399,4644,6569,7761,451,3851,4934,2058,116365,3213,299691,10180,1066,17303,3473,2446,46372,1433,8247,5882,2373,10805,22120,4497,862,14962,14070,1110,6520,545
