rank,beta,relative error,std error
1,1,0.086902684738579,0.0010439949977387843
2,1,0.07564508223676107,0.0011432270188483603
3,1,0.06629922436006386,0.0006908326285216595
4,1,0.0590825180419413,0.0013792873601926024
5,1,0.05674306499330062,0.001551166284362893
6,1,0.056275487356825415,0.0009655965486256617
7,1,0.05874238839479305,0.0038018366157784988
8,1,0.06029731741244251,0.004487621861574019
9,1,0.06670638570531168,0.004566881171256062
10,1,0.069796379343922,0.003107606827997276
11,1,0.0756206558313979,0.002621224446215057
12,1,0.08096410998018864,0.001867315630443401
13,1,0.08519417161789872,0.001662938051613412
14,1,0.08770358676998621,0.002191402476097341
