,name,population_estimate
0,Alabama,4903185
1,Alaska,731545
2,Arizona,7278717
3,Arkansas,3017804
4,California,39512223
5,Colorado,5758736
6,Connecticut,3565287
7,Delaware,973764
8,District of Columbia,705749
9,Florida,21477737
10,Georgia,10617423
11,Hawaii,1415872
12,Idaho,1787065
13,Illinois,12671821
14,Indiana,6732219
15,Iowa,3155070
16,Kansas,2913314
17,Kentucky,4467673
18,Louisiana,4648794
19,Maine,1344212
20,Maryland,6045680
21,Massachusetts,6892503
22,Michigan,9986857
23,Minnesota,5639632
24,Mississippi,2976149
25,Missouri,6137428
26,Montana,1068778
27,Nebraska,1934408
28,Nevada,3080156
29,New Hampshire,1359711
30,New Jersey,8882190
31,New Mexico,2096829
32,New York,19453561
33,North Carolina,10488084
34,North Dakota,762062
35,Ohio,11689100
36,Oklahoma,3956971
37,Oregon,4217737
38,Pennsylvania,12801989
39,Rhode Island,1059361
40,South Carolina,5148714
41,South Dakota,884659
42,Tennessee,6829174
43,Texas,28995881
44,Utah,3205958
45,Vermont,623989
46,Virginia,8535519
47,Washington,7614893
48,West Virginia,1792147
49,Wisconsin,5822434
50,Wyoming,578759
51,Puerto Rico,3193694
52,United States,328239523
