,Country,Population
0,USA,329484123.0
1,RUS,144104080.0
2,JPN,125836021.0
3,IND,1380004385.0
4,CHN,1410929362.0
5,COL,50882884.0
6,MEX,128932753.0
7,UKR,44134693.0
8,BRA,212559409.0
9,PER,32971846.0
10,ITA,59554023.0
11,SWE,10353442.0
12,ESP,47351567.0
13,NLD,17441139.0
14,DEU,83240525.0
15,CHL,19116209.0
16,MYS,32365998.0
17,CAN,38005238.0
18,GBR,67215293.0
19,FRA,67391582.0
20,BEL,11555997.0
21,AUS,25687041.0
22,PAK,220892331.0
23,DNK,5831404.0
24,NZL,5084300.0
25,TZA,59734213.0
26,SSD,11193729.0
27,NER,24206636.0
28,UGA,45741000.0
29,ISL,366425.0
30,GHA,31072945.0
31,NGA,206139587.0
32,STP,219161.0
33,BLR,9379952.0
34,SOM,15893219.0
35,CRI,5094114.0
36,ZMB,18383956.0
37,DMA,71991.0
38,SMR,33938.0
39,MDV,540542.0
40,SAU,34813867.0
41,UZB,34232050.0
42,TCD,16425859.0
43,CMR,26545864.0
44,KAZ,18754440.0
45,AND,77265.0
46,VCT,110947.0
47,KGZ,6591600.0
48,MNE,621306.0
49,MRT,4649660.0
50,NAM,2540916.0
51,BIH,3280815.0
52,IRN,83992953.0
53,CHE,8636896.0
54,AZE,10093121.0
55,FJI,896444.0
56,OMN,5106622.0
57,PRY,7132530.0
58,COG,5518092.0
59,TUN,11818618.0
60,SYR,17500657.0
61,BGD,164689383.0
62,POL,37950802.0
63,DZA,43851043.0
64,ISR,9216900.0
65,MCO,39244.0
66,BHR,1701583.0
67,GUY,786559.0
68,SLE,7976985.0
69,TTO,1399491.0
70,BRB,287371.0
71,CIV,26378275.0
72,CPV,555988.0
73,MLI,20250834.0
74,CAF,4829764.0
75,AFG,38928341.0
76,BWA,2351625.0
77,ARM,2963234.0
78,ZAF,59308690.0
79,PRT,10305564.0
80,ARG,45376763.0
81,MOZ,31255435.0
82,GNQ,1402985.0
83,MDA,2620495.0
84,PAN,4314768.0
85,EST,1331057.0
86,MMR,54409794.0
87,BFA,20903278.0
88,BGR,6934015.0
89,CUB,11326616.0
90,LVA,1901548.0
91,TGO,8278737.0
92,FIN,5530719.0
93,PHL,109581085.0
94,LAO,7275556.0
95,AUT,8917205.0
96,GTM,16858333.0
97,ZWE,14862927.0
98,TWN,23570000
99,BLZ,397621.0
100,ERI,6081000
101,SDN,43849269.0
102,SVK,5458827.0
103,MAR,36910558.0
104,VEN,28435943.0
105,MWI,19129955.0
106,MUS,1265740.0
107,VNM,97338583.0
108,GMB,2416664.0
109,BOL,11673029.0
110,ALB,2837743.0
111,GAB,2225728.0
112,NOR,5379475.0
113,SRB,6908224.0
114,IDN,273523621.0
115,HRV,4047200.0
116,QAT,2881060.0
117,ETH,114963583.0
118,BHS,393248.0
119,HUN,9749763.0
120,SYC,98462.0
121,HND,9904608.0
122,GRC,10715549.0
123,GRD,112519.0
124,LBY,6871287.0
125,BEN,12123198.0
126,KEN,53771300.0
127,JOR,10203140.0
128,NPL,29136808.0
129,KWT,4270563.0
130,ATG,97928.0
131,MLT,525285.0
132,TLS,1318442.0
133,RWA,12952209.0
134,HTI,11402533.0
135,BTN,771612.0
136,MDG,27691019.0
137,JAM,2961161.0
138,KOR,51780579.0
139,GEO,3714000.0
140,BDI,11890781.0
141,URY,3473727.0
142,GIN,13132792.0
143,LTU,2794700.0
144,LBR,5057677.0
145,LBN,6825442.0
146,CZE,10698896.0
147,ARE,9890400.0
148,SVN,2100126.0
149,DJI,988002.0
150,LKA,21919000.0
151,KHM,16718971.0
152,COD,89561404.0
153,DOM,10847904.0
154,CYP,1207361.0
155,PNG,8947027.0
156,BRN,437483.0
157,SWZ,1160164.0
158,KNA,53192.0
159,LUX,632275.0
160,SUR,586634.0
161,THA,69799978.0
162,LIE,38137.0
163,GNB,1967998.0
164,LCA,183629.0
165,SLV,6486201.0
166,MNG,3278292.0
167,EGY,102334403.0
168,AGO,32866268.0
169,IRL,4994724.0
170,ROU,19286123.0
171,KOS,1775378.0
172,TUR,84339067.0
173,SGP,5685807.0
174,SEN,16743930.0
175,ECU,17643060.0
176,NIC,6624554.0
177,MKD,2072531.0
178,YEM,29825968.0
179,IRQ,40222503.0
